Tern,Thrush,Tick,Tiger,Tiglon,Toad,Tortoise,Trout,Tuna,Turkey,Turtle,Tyrannosaurus,Urial,Vicuna,Viper,Vole,Vulture,Wallaby,Walrus,Wasp,Warbler,Weasel,Whale,Whippet,Whitefish,Wildcat,Wildebeest,Wildfowl,Wolf,Wolverine,target
-253077.77239049814,-49.659245831056936,-0.6797646113570718,s,,l,-12.055164618313118,-463.33264218587743,-41860.41932198217,325673.86203514645,-454283759616.0,53.01463360500129,e,,6646.405347656032,-8374344.393747568,d1,-18002513.320448898,81581.60866726685,4.302917176106462,f1,a,-3297064.6170472493,-0.9744952186643091,-35365779.461691014,-395.15900981515495,0.02195151397341155,b,k1,m,1
380192.1231315162,-49.659245831056936,-1.3564563660099327,s,False,l,-30.235997733529057,-388.8228134219463,-94810.02995906264,1154.4209002051098,-3356727743488.0,61.01154302658081,b,,23.55961020826746,-4272010.624115229,e2,,17260.087089299475,-1.2514565178445425,o4,b,-1043690.0803696495,-1.3420610198509053,-35365485.257363014,609.3321207116081,0.26938271871110464,b,m1,x,0
-218627.87696294065,-49.659245831056936,-0.5421943812955511,s,False,l,-10.443574921350198,-519.0149419785907,-46075.9316828389,2248867.069865657,-167121657856.0,59.25704311146961,e,,45895.24632378893,17495473.70289983,r1,,198039.1081405123,-0.17794946459933225,g3,a,4892868.190762969,-1.3359337800598667,-35364556.31815679,1175.5369024393508,0.3414165639136866,b,s2,r,0
-178076.87946584664,-49.659245831056936,-0.4859744739596751,s,,l,-8.374562630855227,-504.614246874176,-73554.39150533408,14520616.236787578,-183269622472704.0,60.097612724955,d,,296339.10687321494,92905039.30214967,f2,,32531.948158196796,1.090384296700315,m3,a,28143454.08018598,-1.0735527228910766,-35364972.881837584,-359.32075871851094,0.0031909871518490673,m,k1,w,0
-169250.19000573872,-49.659245831056936,-0.6005611934483621,s,False,l,-10.269902116547044,-455.22509883855935,-41390.990681450545,268919.58562928793,-5.327236817704489e+17,55.45082450445636,a,,5488.15480876099,-4480257.421313077,a1,,6325.774005952001,0.058028798802629566,h1,a,-180162.7055938989,-1.3418534131820428,-35363212.47834015,-346.8565795169824,-0.25033225679390114,b,j1,s,0
-68161.8200805625,-49.659245831056936,-0.8823802385199607,s,,l,-16.54710050048793,-407.4225660469874,-43057.24583400734,182690.51924395666,-167121657856.0,65.89375096878574,a,,3728.3779437542175,2750596.9234336317,e2,-14905719.17514133,41700.53300366865,4.379026417063707,p1,b,-683913.9002069533,-1.3371085943630012,-35362739.554388806,-115.85367185252397,-0.43299231804669347,b,k1,x,1
-37585.923371673736,-49.659245831056936,-0.35316291995209603,s,False,u,-7.958229263711992,-512.6840670715247,-23556.3543290027,646415.6626232517,-498171335998464.0,64.70662084814664,e,,13192.156380066295,11159175.445038438,x2,-5157540.48664435,38294.751898122326,-0.12497423127792606,p2,a,21486497.683474638,-1.3415319458299915,-35364907.096239164,133.43824753684032,-0.2049562085461636,y,r2,l,0
-15600.126197042118,-49.659245831056936,-0.6202406195024718,s,False,s,-11.30970303589585,-473.93827727337,-70432.59910870306,494822.08813051856,-3356727743488.0,56.530645017653306,d,,10098.409961847376,6751723.569801614,z2,-18708667.169662274,98425.20806757417,-0.18085926016721654,r3,a,837873.9203315154,-1.3279817705502421,-35365070.15006289,-12.314199931032078,-0.03176478994926679,b,r2,s,0
-199256.21551240946,-49.659245831056936,-0.9367323031102717,s,,l,-20.919942401173945,-448.73109157251065,-86327.04963435089,119167.73040683739,-1.3845709221528417e+18,55.20321555118275,c,,2431.9944980987325,-12343489.756820016,c1,,54168.58909331996,-1.1509584171554308,z4,b,-1962629.4335354595,-1.1300400725010613,-35362872.62196664,2875.713392623194,-0.13013452857323926,b,k1,m,0
-240720.28279378786,-49.659245831056936,-1.209454046061964,s,,l,-25.53457859560947,-409.0844542428779,-70362.44549834606,30892.943535014023,-3.294285014579562e+18,60.56278032289981,d,,630.4682354084524,-6874766.842003122,o1,,61183.540729956534,-0.6700646231655598,w2,b,-1631412.940276675,-1.3420721412464165,-35362613.41492197,141.2114704628474,0.08211317678700325,b,k1,m,0
